patch_id,corner,bivariate_id,n_pixels,area_m2,elevation,inland_position,slope,building_50m,impervious_50m,canopy_height_max,southness,tpi_50m
201,cool-stable,1,10,1000.0,15.150499,3000.0,0.81764674,0.0,0.15055557,24.5475,-0.80398643,-0.06259988
202,cool-stable,1,12,1200.0,6.6415,899.4433,1.8356528,0.0,0.0,23.02,0.32052773,-0.29332
203,cool-stable,1,48,4800.0,25.4505,3000.0,3.139495,0.019116666,0.04489712,25.976,0.34179467,-0.13201958
204,cool-stable,1,15,1500.0,27.526,1064.7065,3.1953359,0.0,0.055860084,22.686,-0.25006723,-0.3883992
205,cool-stable,1,104,10400.0,11.6,945.48926,3.4972086,0.0,0.02277659,26.541,0.8462993,-0.22008029
206,cool-stable,1,18,1800.0,21.3435,3000.0,4.2031307,0.012755555,0.015740741,29.467499,-0.65368986,-0.97678065
207,cool-stable,1,14,1400.0,21.71,722.1495,5.478305,0.0,0.0,23.5635,0.47009942,-0.47686058
208,cool-stable,1,19,1900.0,17.09,3000.0,2.3302147,0.008400001,0.24265756,28.379,0.491737,-0.19923931
209,cool-stable,1,91,9100.0,21.331,3000.0,1.1535798,0.0019736264,0.099632345,28.309,0.0633056,-0.067799225
210,cool-stable,1,97,9700.0,16.218,554.43665,3.6858702,0.0051958766,0.027821051,24.219,-0.09753876,-0.49035996
211,cool-stable,1,101,10100.0,14.845,674.6851,6.114318,0.0007287128,0.057095706,24.914,-0.23123671,-0.03983997
212,cool-stable,1,9,900.0,23.95,711.12585,4.507317,0.0,0.0,21.801,0.37140906,-1.0244409
213,cool-stable,1,16,1600.0,15.481,582.53125,4.9652596,0.000425,0.0,21.889,0.689656,-1.3440601
214,cool-stable,1,80,8000.0,25.679,3000.0,0.21744686,0.0,0.0,27.5055,0.01040148,-0.027199708
215,cool-stable,1,9,900.0,16.274,3000.0,0.95881754,0.004933333,0.21316873,23.998,-0.16071674,-0.14920056
216,cool-stable,1,18,1800.0,19.298,3000.0,2.5242398,0.0,0.3734568,28.974499,0.61848044,-0.050639916
217,cool-stable,1,9,900.0,28.518,2650.9622,2.5550237,0.0,0.0010973937,23.991,0.26340523,0.055240173
218,cool-stable,1,13,1300.0,19.904,679.41156,3.1201425,0.0,0.005584046,21.601,-0.43745404,-0.44911966
219,cool-stable,1,10,1000.0,25.9165,1927.8438,5.0864444,0.0,0.0,24.8685,0.87536776,-0.3305595
220,cool-stable,1,11,1100.0,23.592,715.1224,6.5354695,0.0,0.06496072,23.165,0.24673963,0.085599974
221,cool-stable,1,15,1500.0,26.945,2617.2695,4.1818266,0.020346668,0.00563786,23.948,0.91632235,0.24364044
222,cool-stable,1,24,2400.0,10.034,849.8525,2.983328,0.0,0.001270576,24.272,0.87570214,0.043059826
223,cool-stable,1,12,1200.0,21.582,2693.2405,4.08102,0.0,7.201646e-05,28.358501,0.92317545,-0.6882799
224,cool-stable,1,80,8000.0,16.282,3000.0,0.6688725,2.4999998e-05,0.12812653,25.626999,0.07191329,-0.04651966
225,cool-stable,1,20,2000.0,24.235,2510.9045,3.9339619,0.0,0.00041975308,24.539501,0.9565631,-0.033680268
226,cool-stable,1,13,1300.0,25.821,3000.0,0.72314423,0.0,0.0,31.408,0.04898518,-0.06547951
227,cool-stable,1,16,1600.0,24.74,1589.5752,3.2138848,0.0,0.13703704,25.956501,0.9137884,-0.19391964
