patch_id,corner_id,corner_label,n_pixels,area_m2,mean_r_thw,mean_r_offset,dominant_lulc,dominant_lulc_label,dominant_lulc_percent
6180,16,Hot-amplifying,17,1700.0,0.9291150758183849,0.9152723142871781,Other vegetation,Other veg.,64.70588235294117
6181,16,Hot-amplifying,13,1300.0,0.9353543414551834,0.8857420958988752,Fields,Fields,61.53846153846154
6182,16,Hot-amplifying,9,900.0,0.8409812144477778,0.8732225770723787,Other vegetation,Other veg.,22.22222222222222
6183,16,Hot-amplifying,9,900.0,0.8286040409905695,0.9126571466463075,Other vegetation,Other veg.,66.66666666666667
6184,16,Hot-amplifying,27,2700.0,0.9078836115382456,0.9136248242177465,Other vegetation,Other veg.,33.333333333333336
6185,16,Hot-amplifying,10,1000.0,0.8317600890351301,0.8547020549049968,Other vegetation,Other veg.,70.0
6186,16,Hot-amplifying,20,2000.0,0.9946259234168844,0.8356974095938579,Other vegetation,Other veg.,100.0
6187,16,Hot-amplifying,42,4200.0,0.9961354436932679,0.8617899041290118,Other vegetation,Other veg.,90.47619047619048
6188,16,Hot-amplifying,27,2700.0,0.8599005344258416,0.8802827331347607,Other vegetation,Other veg.,37.03703703703704
6189,16,Hot-amplifying,9,900.0,0.9104475054750871,0.8638342455491396,Other vegetation,Other veg.,88.88888888888889
6190,16,Hot-amplifying,13,1300.0,0.9388286470779454,0.8963750443562698,Other vegetation,Other veg.,46.15384615384615
6191,16,Hot-amplifying,10,1000.0,0.9103453337204426,0.884654795315978,Other vegetation,Other veg.,20.0
6192,16,Hot-amplifying,17,1700.0,0.8266240656719477,0.9098114739944173,Trees 2–10 m,Trees 2–10 m,17.647058823529413
6193,16,Hot-amplifying,15,1500.0,0.8744788541565855,0.9203120100648408,Other vegetation,Other veg.,66.66666666666667
6194,16,Hot-amplifying,18,1800.0,0.9255358595796996,0.9144011455566665,Other vegetation,Other veg.,77.77777777777777
6195,16,Hot-amplifying,195,19500.0,0.9474770418566025,0.8457863802058131,Fields,Fields,69.23076923076923
6196,16,Hot-amplifying,24,2400.0,0.9183228491241652,0.9450252024258846,Other vegetation,Other veg.,25.0
6197,16,Hot-amplifying,67,6700.0,0.9250724987276912,0.8917617275087835,Other vegetation,Other veg.,77.61194029850746
6198,16,Hot-amplifying,12,1200.0,0.8860494693377206,0.8844675365872018,Other vegetation,Other veg.,66.66666666666667
6199,16,Hot-amplifying,10,1000.0,0.8749979354172716,0.8918656408271234,Other vegetation,Other veg.,30.0
6200,16,Hot-amplifying,17,1700.0,0.9511106809897095,0.900412328291425,Other vegetation,Other veg.,94.11764705882354
6201,16,Hot-amplifying,18,1800.0,0.8722597323928011,0.8748168937349234,Trees 2–10 m,Trees 2–10 m,16.666666666666668
6202,16,Hot-amplifying,20,2000.0,0.8877312493951418,0.9166387625407271,Other vegetation,Other veg.,45.0
6203,16,Hot-amplifying,10,1000.0,0.8723147843478822,0.8516788928675119,Other vegetation,Other veg.,60.0
6204,16,Hot-amplifying,9,900.0,0.8678927635658498,0.8880370692961422,Other vegetation,Other veg.,55.55555555555556
6205,16,Hot-amplifying,9,900.0,0.9970450301264199,0.8719770530232158,Other vegetation,Other veg.,100.0
6206,16,Hot-amplifying,21,2100.0,0.8681388493330813,0.90145918685549,Other vegetation,Other veg.,80.95238095238095
