patch_id,corner,bivariate_id,n_pixels,area_m2,canopy_height_max,elevation,slope,tpi_50m,dist_ocean,dist_inland_water,building_50m,impervious_50m
212,cool-stable,1,9,900.0,21.801,23.95,4.507317,-1.0244409,711.12585,261.72504,0.0,0.0
213,cool-stable,1,16,1600.0,21.889,15.481,4.9652596,-1.3440601,582.53125,280.0,0.000425,0.0
214,cool-stable,1,80,8000.0,27.5055,25.679,0.21744686,-0.027199708,3000.0,33.83914,0.0,0.0
215,cool-stable,1,9,900.0,23.998,16.274,0.95881754,-0.14920056,3000.0,10.0,0.004933333,0.21316873
216,cool-stable,1,18,1800.0,28.974499,19.298,2.5242398,-0.050639916,3000.0,20.0,0.0,0.3734568
217,cool-stable,1,9,900.0,23.991,28.518,2.5550237,0.055240173,2650.9622,500.0,0.0,0.0010973937
218,cool-stable,1,13,1300.0,21.601,19.904,3.1201425,-0.44911966,679.41156,313.04953,0.0,0.005584046
219,cool-stable,1,10,1000.0,24.8685,25.9165,5.0864444,-0.3305595,1927.8438,136.35027,0.0,0.0
220,cool-stable,1,11,1100.0,23.165,23.592,6.5354695,0.085599974,715.1224,353.41193,0.0,0.06496072
221,cool-stable,1,15,1500.0,23.948,26.945,4.1818266,0.24364044,2617.2695,500.0,0.020346668,0.00563786
222,cool-stable,1,24,2400.0,24.272,10.034,2.983328,0.043059826,849.8525,313.4483,0.0,0.001270576
223,cool-stable,1,12,1200.0,28.358501,21.582,4.08102,-0.6882799,2693.2405,500.0,0.0,7.201646e-05
224,cool-stable,1,80,8000.0,25.626999,16.282,0.6688725,-0.04651966,3000.0,28.284271,2.4999998e-05,0.12812653
225,cool-stable,1,20,2000.0,24.539501,24.235,3.9339619,-0.033680268,2510.9045,500.0,0.0,0.00041975308
226,cool-stable,1,13,1300.0,31.408,25.821,0.72314423,-0.06547951,3000.0,20.0,0.0,0.0
227,cool-stable,1,16,1600.0,25.956501,24.74,3.2138848,-0.19391964,1589.5752,175.14694,0.0,0.13703704
228,cool-stable,1,12,1200.0,7.8715,22.1215,8.372081,-0.24753949,3000.0,432.95328,0.0021666668,0.14096707
229,cool-stable,1,211,21100.0,27.506,21.458,1.8451513,-0.037679978,3000.0,152.64337,0.0039165877,0.056240126
230,cool-stable,1,9,900.0,17.488,22.606,5.9104905,-0.13691993,674.1662,332.4154,0.0,0.07057613
231,cool-stable,1,12,1200.0,27.8155,23.8475,3.3109765,-0.081199765,3000.0,129.22327,0.0,0.04940329
232,cool-stable,1,36,3600.0,25.4205,20.931,3.558958,0.24756011,1400.9817,351.70526,0.0,0.12145747
233,cool-stable,1,24,2400.0,23.895,16.138,7.6498494,0.14510003,851.61584,398.18335,0.000100000005,0.0018621399
